,Trial,Left/Right,Category,Response,ResponseTime(ms),Focus
206,207,L,HAS,HAS,504.5361328125,False
207,208,L,AFS,AFS,541.10107421875,False
208,209,L,AFS,AFS,652.43408203125,False
209,210,L,HAS,HAS,554.748291015625,False
210,211,R,HAS,HAS,737.864013671875,False
211,212,L,AFS,AFS,505.164794921875,False
212,213,L,AFS,AFS,700.594482421875,False
213,214,R,AFS,HAS,564.69775390625,False
214,215,L,AFS,AFS,556.009033203125,False
215,216,L,AFS,HAS,1128.3505859375,False
216,217,R,HAS,HAS,523.6943359375,False
217,218,L,HAS,HAS,554.48486328125,False
218,219,L,HAS,HAS,640.341552734375,False
219,220,R,AFS,HAS,796.241455078125,False
220,221,L,AFS,AFS,513.915771484375,False
221,222,R,HAS,HAS,574.538818359375,False
222,223,L,HAS,HAS,519.42333984375,False
223,224,L,AFS,AFS,583.415283203125,False
224,225,L,HAS,HAS,701.43212890625,False
225,226,L,AFS,AFS,570.72900390625,False
226,227,L,AFS,AFS,634.5390625,False
227,228,L,HAS,HAS,532.7294921875,False
228,229,L,AFS,AFS,585.083984375,False
229,230,R,HAS,HAS,563.709716796875,False
230,231,R,AFS,AFS,599.07666015625,False
231,232,L,HAS,HAS,537.564208984375,False
232,233,R,HAS,HAS,571.268798828125,False
233,234,R,HAS,HAS,735.353271484375,False
234,235,R,HAS,HAS,492.68359375,False
235,236,L,HAS,HAS,597.26123046875,False
236,237,R,AFS,AFS,572.43994140625,False
237,238,R,AFS,AFS,741.489501953125,False
238,239,L,HAS,HAS,603.213623046875,False
239,240,R,HAS,HAS,567.7705078125,False
240,241,R,HAS,HAS,498.2587890625,False
241,242,L,AFS,AFS,476.72802734375,False
242,243,L,HAS,HAS,565.764404296875,False
243,244,R,HAS,HAS,685.959716796875,False
244,245,L,HAS,HAS,566.302734375,False
245,246,L,AFS,AFS,580.42919921875,False
246,247,L,HAS,HAS,670.550048828125,False
247,248,L,HAS,AFS,591.61083984375,False
248,249,L,AFS,AFS,627.206787109375,False
249,250,R,AFS,AFS,622.373291015625,False
250,251,R,HAS,HAS,688.07177734375,False
251,252,L,AFS,AFS,634.498291015625,False
252,253,R,HAS,HAS,589.631103515625,False
